id,rank,pais_id,ouro,prata,bronze,total,rank_total,data
1,1,12,39,41,33,113,1,27/11/2021
2,2,72,38,32,18,88,2,27/11/2021
3,3,25,27,14,17,58,5,27/11/2021
4,4,56,22,21,22,65,4,27/11/2021
5,5,33,20,28,23,71,3,27/11/2021
6,6,11,17,7,22,46,6,27/11/2021
7,7,10,10,12,14,36,9,27/11/2021
8,8,5,10,12,11,33,10,27/11/2021
9,9,20,10,11,16,37,8,27/11/2021
10,10,4,10,10,20,40,7,27/11/2021
11,11,27,7,6,11,24,11,27/11/2021
12,12,53,7,6,8,21,12,27/11/2021
13,13,113,7,6,7,20,13,27/11/2021
14,14,84,7,3,5,15,18,27/11/2021
15,15,57,6,7,7,20,13,27/11/2021
16,16,112,6,4,10,20,13,27/11/2021
17,17,51,4,5,5,14,19,27/11/2021
18,18,120,4,4,3,11,23,27/11/2021
19,19,64,4,4,2,10,25,27/11/2021
20,20,2,4,2,2,8,29,27/11/2021
21,21,94,4,1,4,9,26,27/11/2021
22,22,3,3,8,6,17,17,27/11/2021
23,23,55,3,6,0,9,26,27/11/2021
24,24,36,3,4,6,13,20,27/11/2021
25,25,115,3,4,4,11,23,27/11/2021
26,26,149,3,3,2,8,29,27/11/2021
27,27,8,3,2,2,7,33,27/11/2021
28,28,86,3,1,5,9,26,27/11/2021
29,29,15,3,1,3,7,33,27/11/2021
30,30,91,3,1,2,6,39,27/11/2021
31,31,133,3,1,1,5,42,27/11/2021
32,32,21,3,0,2,5,42,27/11/2021
33,33,39,2,5,1,8,29,27/11/2021
34,34,161,2,4,6,12,22,27/11/2021
35,35,54,2,2,9,13,20,27/11/2021
36,36,103,2,1,1,4,47,27/11/2021
37,36,105,2,1,1,4,47,27/11/2021
38,38,110,2,1,0,3,60,27/11/2021
39,39,93,2,0,2,4,47,27/11/2021
40,39,97,2,0,2,4,47,27/11/2021
41,41,13,2,0,1,3,60,27/11/2021
42,42,114,2,0,0,2,66,27/11/2021
43,42,191,2,0,0,2,66,27/11/2021
44,44,87,1,6,12,19,16,27/11/2021
45,45,107,1,3,3,7,33,27/11/2021
46,46,50,1,3,0,4,47,27/11/2021
47,46,104,1,3,0,4,47,27/11/2021
48,48,43,1,2,4,7,33,27/11/2021
49,49,129,1,2,3,6,39,27/11/2021
50,50,116,1,2,1,4,47,27/11/2021
51,50,135,1,2,1,4,47,27/11/2021
52,52,37,1,2,0,3,60,27/11/2021
53,53,31,1,1,5,7,33,27/11/2021
54,54,14,1,1,4,6,39,27/11/2021
55,55,22,1,1,3,5,42,27/11/2021
56,56,26,1,1,2,4,47,27/11/2021
57,56,40,1,1,2,4,47,27/11/2021
58,58,46,1,1,0,2,66,27/11/2021
59,59,95,1,0,1,2,66,27/11/2021
60,59,136,1,0,1,2,66,27/11/2021
61,59,78,1,0,1,2,66,27/11/2021
62,59,155,1,0,1,2,66,27/11/2021
63,63,92,1,0,0,1,77,27/11/2021
64,63,30,1,0,0,1,77,27/11/2021
65,63,59,1,0,0,1,77,27/11/2021
66,66,48,0,4,1,5,42,27/11/2021
67,67,9,0,3,4,7,33,27/11/2021
68,68,100,0,3,2,5,42,27/11/2021
69,69,65,0,2,2,4,47,27/11/2021
70,70,77,0,2,1,3,60,27/11/2021
71,71,132,0,1,3,4,47,27/11/2021
72,72,85,0,1,2,3,60,27/11/2021
73,72,108,0,1,2,3,60,27/11/2021
74,74,41,0,1,1,2,66,27/11/2021
75,74,16,0,1,1,2,66,27/11/2021
76,74,45,0,1,1,2,66,27/11/2021
77,77,24,0,1,0,1,77,27/11/2021
78,77,19,0,1,0,1,77,27/11/2021
79,77,58,0,1,0,1,77,27/11/2021
80,77,151,0,1,0,1,77,27/11/2021
81,77,177,0,1,0,1,77,27/11/2021
82,77,128,0,1,0,1,77,27/11/2021
83,83,23,0,0,8,8,29,27/11/2021
84,84,47,0,0,4,4,47,27/11/2021
85,85,125,0,0,2,2,66,27/11/2021
86,86,111,0,0,1,1,77,27/11/2021
87,86,175,0,0,1,1,77,27/11/2021
88,86,70,0,0,1,1,77,27/11/2021
89,86,109,0,0,1,1,77,27/11/2021
90,86,185,0,0,1,1,77,27/11/2021
91,86,80,0,0,1,1,77,27/11/2021
92,86,147,0,0,1,1,77,27/11/2021
93,86,127,0,0,1,1,77,27/11/2021
